ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
ende1235-1-100-1,,ende1235,1-100,ekaklle ulle,ekaklle ulle,e k a k ɽ e + u ɽ e,,lindsey2019,,,^ e k a k ll e + u ll e $,default,StandardOrth;Phonetic,ekakɽe uɽe
ende1235-1-210-1,,ende1235,1-210,ekaklle,ekaklle,e k a k ɽ e,,lindsey2019,,,^ e k a k ll e $,default,StandardOrth;Phonetic,ekakɽe
ende1235-1-212-1,,ende1235,1-212,ekaklle,ekaklle,e k a k ɽ e,"also: täpe, matu",lindsey2019,,,^ e k a k ll e $,default,StandardOrth;Phonetic,ekakɽe
ende1235-1-213-1,,ende1235,1-213,pänpän,pänpän,p ə n p ə n,,lindsey2019,,,^ p ä n p ä n $,default,StandardOrth;Phonetic,pənpən
ende1235-1-214-1,,ende1235,1-214,täpe,täpe,t ə p e,,lindsey2019,,,^ t ä p e $,default,StandardOrth;Phonetic,təpe
ende1235-1-215-1,,ende1235,1-215,surum,surum,s u r u m,,lindsey2019,,,^ s u r u m $,default,StandardOrth;Phonetic,surum
ende1235-1-220-1,,ende1235,1-220,tutu,tutu,t u t u,,lindsey2019,,,^ t u t u $,default,StandardOrth;Phonetic,tutu
ende1235-1-222-1,,ende1235,1-222,durgu,durgu,d u r ɡ u,,lindsey2019,,,^ d u r g u $,default,StandardOrth;Phonetic,durɡu
ende1235-1-230-1,,ende1235,1-230,poddpodd,poddpodd,p o ɖᶼ p o ɖᶼ,,lindsey2019,,,^ p o dd p o dd $,default,StandardOrth;Phonetic,poɖᶼpoɖᶼ
ende1235-1-240-1,,ende1235,1-240,kup,kup,k u p,,lindsey2019,,,^ k u p $,default,StandardOrth;Phonetic,kup
ende1235-1-250-1,,ende1235,1-250,kui,kui,k w i,,lindsey2019,,,^ k ui $,default,StandardOrth;Phonetic,kwi
